number,title
103,"Theory of Arithmetic"
112,"Algebra"
115,"Preparation for Calculus"
117,"Elementary Mathematics"
124,"Finite Mathematics"
181,"A Mathematical World"
199,"Undergraduate Open Seminar"
213,"Basic Discrete Mathematics"
220,"Calculus"
225,"Introductory Matrix Theory"
227,"Linear Algebra for Data Science"
231,"Calculus II"
234,"Calculus for Business I"
241,"Calculus III"
257,"Linear Algebra with Computational Applications"
285,"Intro Differential Equations"
314,"Introduction to Higher Mathematics"
357,"Numerical Methods I"
362,"Probability with Engrg Applic"
390,"Individual Study"
399,"Math/Actuarial Internship"
402,"Non Euclidean Geometry"
403,"Euclidean Geometry"
412,"Graph Theory"
413,"Intro to Combinatorics"
414,"Mathematical Logic"
415,"Applied Linear Algebra"
416,"Abstract Linear Algebra"
417,"Intro to Abstract Algebra"
418,"Intro to Abstract Algebra II"
424,"Honors Real Analysis"
425,"Honors Advanced Analysis"
432,"Set Theory and Topology"
441,"Differential Equations"
442,"Intro Partial Diff Equations"
444,"Elementary Real Analysis"
446,"Applied Complex Variables"
447,"Real Variables"
448,"Complex Variables"
450,"Numerical Analysis"
453,"Number Theory"
461,"Probability Theory"
463,"Statistics and Probability I"
464,"Statistics and Probability II"
466,"Applied Random Processes"
473,"Algorithms"
481,"Vector and Tensor Analysis"
482,"Linear Programming"
484,"Nonlinear Programming"
489,"Dynamics & Differential Eqns"
492,"Undergraduate Research in Math"
495,"Models in Mathematical Biology"
499,"Introduction Graduate Research"
500,"Abstract Algebra I"
503,"Intro Geometric Group Theory"
506,"Group Representation Theory"
511,"Intro to Algebraic Geometry"
519,"Differentiable Manifolds II"
525,"Algebraic Topology I"
530,"Algebraic Number Theory"
532,"Analytic Theory of Numbers II"
540,"Real Analysis"
541,"Functional Analysis"
550,"Dynamical Systems I"
552,"Numerical Methods for PDEs"
553,"Partial Differential Equations"
561,"Theory of Probability I"
586,"Algebraic Combinatorics"
593,"Mathematical Internship"
595,"Advanced Topics in Mathematics"
597,"Reading Course"
